Sector,Water Provisioning,Pollination,Soil Quality,Climate Regulation,Flood Protection,Water Purification,Genetic Resources,Timber & Fibers,Marine Resources,Air Quality
Oil & Gas,3,0,2,4,2,3,0,0,1,3
Mining,4,0,3,3,2,3,0,1,0,3
Agriculture,4,4,4,3,3,3,3,2,0,2
Food & Bev,4,3,3,2,2,3,2,1,2,1
Pharma,2,1,1,1,1,2,4,1,1,1
Chemicals,3,0,2,2,2,3,1,1,0,3
Construction,3,0,3,2,3,2,0,3,0,2
Textiles,3,1,2,2,1,2,1,3,0,1
Technology,2,0,1,1,1,1,0,0,0,1
Financials,1,0,0,1,1,0,0,0,0,0
Utilities,4,0,1,3,3,3,0,1,0,2
Transport,2,0,1,2,1,1,0,0,1,2
Forestry,3,2,4,4,3,3,3,4,0,2
Fisheries,2,0,1,2,1,2,2,0,4,1
Tourism,2,1,1,2,1,1,1,1,2,1
